Volume,Permittivity,Conductivity,Bend,Feed,S11,VSWR,Gain,Efficiency,Bandwidth,WiFi Fault,BT Fault,WiFi Status,BT Status,epsilon_r
1778.85,2.11,12045.38,1.05,-13.58,-3.65,1.19,1.35,78.38,66.43,Strong_Flexion,Coupure,Fault,Fault,3.38
1866.864825,2.29,3264.12,1.04,-22.62,-24.47,1.43,4.85,33.04,149.65,Conductivity_Degradation,Strong_Flexion,Fault,Fault,1.63
2337.3071999999997,2.11,9731.05,0.43,-5.93,-3.3,3.99,4.48,89.37,105.11,Cracks,Conductivity_Degradation,Fault,Fault,2.76
1601.811634,1.92,10903.21,0.98,-11.46,-23.42,3.39,-0.07,36.9,65.48,Humidity_Sweat,Strong_Flexion,Fault,Fault,1.51
1682.1561600000002,1.81,4892.56,0.53,-11.2,-8.54,3.93,3.41,65.64,45.64,Body_Effect,Body_Effect,Fault,Fault,2.92
1783.2573000000002,2.44,9437.62,0.12,-8.05,-4.98,1.42,1.78,72.85,91.92,Strong_Flexion,Strong_Flexion,Fault,Fault,1.9
1545.3334049999999,2.19,11594.6,1.05,-10.14,-7.19,3.52,5.97,49.74,110.66,Conductivity_Degradation,Bending,Fault,Fault,3.18
2908.1644800000004,2.17,11883.61,1.12,-6.15,-3.47,1.01,3.09,87.62,117.89,Humidity_Sweat,Body_Effect,Fault,Fault,3.25
2045.95629,2.19,11183.91,1.01,-22.36,-5.36,1.52,1.97,89.9,114.75,Strong_Flexion,Coupure,Fault,Fault,1.74
1209.71279,1.68,6304.0,0.74,-14.19,-18.5,2.89,5.24,71.6,42.82,Cracks,Conductivity_Degradation,Fault,Fault,2.19
2396.4158399999997,2.44,12682.11,1.08,-17.57,-22.94,1.44,3.48,77.39,93.0,Strong_Flexion,No_Fault,Fault,Normal,2.06
2464.885296,2.07,9812.95,0.96,-9.31,-20.48,1.48,0.29,43.89,49.41,Conductivity_Degradation,Humidity_or_Sweat,Fault,Fault,2.1
1419.57018,2.16,12920.12,0.41,-23.64,-14.4,2.02,1.34,32.84,102.39,Conductivity_Degradation,Coupure,Fault,Fault,1.64
2205.28296,2.36,4342.35,0.95,-6.9,-7.05,3.84,5.62,73.86,76.03,Cracks,Coupure,Fault,Fault,2.92
1415.462334,1.53,4977.97,0.51,-14.75,-18.67,3.02,1.96,30.64,135.03,Body_Effect,Strong_Flexion,Fault,Fault,3.19
1532.4736,1.82,6029.39,0.41,-12.84,-24.49,3.81,2.6,60.13,90.63,Conductivity_Degradation,Bending,Fault,Fault,1.96
1793.04678,1.52,3585.31,0.31,-15.15,-10.51,2.56,3.02,89.52,50.52,Conductivity_Degradation,Conductivity_Degradation,Fault,Fault,1.87
1788.295092,1.53,10281.45,0.46,-7.2,-19.85,2.65,0.39,88.0,117.15,Conductivity_Degradation,No_Fault,Fault,Normal,2.79
2168.4662999999996,2.41,13159.2,0.4,-13.09,-5.17,3.67,5.03,82.88,127.18,Body_Effect,Conductivity_Degradation,Fault,Fault,2.44
1859.934776,1.62,13686.36,0.17,-9.5,-9.82,2.54,4.34,62.87,123.27,Bending,No_Fault,Fault,Normal,1.59
2433.6046800000004,2.11,3638.76,0.4,-15.09,-24.05,3.69,1.96,61.81,43.27,Body_Effect,Humidity_or_Sweat,Fault,Fault,3.33
2700.58498,1.53,10991.48,0.46,-22.17,-13.25,2.37,0.41,71.6,42.65,Body_Effect,Conductivity_Degradation,Fault,Fault,1.85
1584.6999999999998,1.56,10384.9,0.1,-23.18,-12.21,3.99,1.97,57.14,154.24,Bending,Cracks,Fault,Fault,3.17
2465.835918,1.58,13873.82,0.33,-9.88,-9.5,3.26,-0.21,30.98,138.73,Cracks,Strong_Flexion,Fault,Fault,3.51
2240.308224,2.2,10768.27,0.33,-12.11,-3.4,1.33,3.82,66.86,85.1,Rupture_Coupure,Bending,Fault,Fault,2.49
2795.6288250000002,2.0,5120.14,0.26,-16.17,-12.94,3.97,3.37,88.26,153.48,Cracks,Strong_Flexion,Fault,Fault,3.89
1759.8001400000003,1.66,4320.64,0.65,-9.07,-11.69,3.26,0.86,47.1,91.44,Rupture_Coupure,Cracks,Fault,Fault,2.92
2980.636758,1.54,11989.62,0.87,-11.89,-9.33,3.71,3.48,52.35,104.55,Rupture_Coupure,Body_Effect,Fault,Fault,3.5
1994.252975,1.81,7078.68,0.68,-20.02,-4.76,1.49,1.9,47.38,102.38,Rupture_Coupure,Conductivity_Degradation,Fault,Fault,2.6
1977.6711500000001,2.18,8510.56,0.38,-11.07,-14.77,3.09,4.17,63.72,71.72,Conductivity_Degradation,Conductivity_Degradation,Fault,Fault,1.83
2087.629614,1.53,6975.51,0.79,-15.39,-4.78,1.55,-0.78,56.44,66.62,Strong_Flexion,Coupure,Fault,Fault,1.71
1362.994545,1.53,4484.19,0.75,-22.73,-21.53,1.99,1.1,83.54,53.53,Strong_Flexion,Coupure,Fault,Fault,3.96
1212.3274239999998,2.36,12215.12,0.39,-24.81,-19.25,3.8,2.89,34.8,127.01,Conductivity_Degradation,Strong_Flexion,Fault,Fault,3.77
1652.89201,2.44,6161.33,1.02,-16.06,-18.05,3.57,5.81,58.76,105.96,Body_Effect,Coupure,Fault,Fault,2.39
2244.8107499999996,2.43,14710.04,0.16,-11.41,-5.74,1.93,3.34,70.17,55.51,Body_Effect,Bending,Fault,Fault,2.89
1284.33141,1.68,11416.53,0.39,-24.08,-6.79,1.38,-0.09,83.08,156.61,Body_Effect,Cracks,Fault,Fault,3.32
2603.825958,2.38,11143.73,1.13,-11.38,-22.36,1.63,0.54,39.3,101.91,Humidity_Sweat,Rupture,Fault,Fault,3.33
1829.145024,2.03,11279.81,0.19,-20.39,-8.83,3.16,2.59,32.77,42.22,Bending,Conductivity_Degradation,Fault,Fault,2.6
2801.4225,1.98,5995.42,0.22,-22.0,-19.03,3.35,-0.1,89.92,45.03,Humidity_Sweat,Coupure,Fault,Fault,3.57
1265.560632,2.18,6418.38,0.73,-13.37,-17.99,1.81,-0.14,79.76,74.99,Bending,Cracks,Fault,Fault,2.59
1686.5268000000003,1.81,5008.16,1.01,-22.56,-11.3,1.48,5.07,43.67,55.09,Conductivity_Degradation,Body_Effect,Fault,Fault,1.64
2232.8724,2.46,12261.79,0.81,-19.7,-19.18,2.34,1.86,72.35,90.15,Strong_Flexion,No_Fault,Fault,Normal,3.02
1705.9691879999998,1.77,3402.66,0.5,-19.04,-5.32,2.7,0.63,48.42,102.95,Humidity_Sweat,Conductivity_Degradation,Fault,Fault,3.92
1696.2686400000002,2.06,13307.08,0.92,-11.94,-3.91,2.27,-0.83,87.68,89.01,Strong_Flexion,Body_Effect,Fault,Fault,2.5
2318.729568,1.92,9154.82,0.79,-8.25,-20.6,2.37,0.29,41.83,44.28,Conductivity_Degradation,Strong_Flexion,Fault,Fault,2.42
1474.797918,1.55,8552.17,1.0,-8.34,-22.52,1.46,3.65,39.4,108.14,Strong_Flexion,Conductivity_Degradation,Fault,Fault,2.51
1775.51178,1.55,8719.47,0.71,-16.51,-19.55,2.87,-0.32,40.48,75.44,Conductivity_Degradation,Rupture,Fault,Fault,2.27
1529.363304,1.72,12990.01,0.81,-16.99,-22.51,3.47,1.3,35.79,48.72,Bending,Bending,Fault,Fault,3.27
2795.6288250000002,2.0,5120.14,0.26,-16.17,-12.94,3.97,3.37,88.26,153.48,Cracks,Strong_Flexion,Fault,Fault,3.89
1773.7185119999997,1.89,4846.25,0.57,-5.01,-6.8,3.21,3.5,42.88,47.58,Conductivity_Degradation,Cracks,Fault,Fault,2.49
2831.0165520000005,2.07,3421.1,1.04,-5.1,-15.16,3.1,3.17,67.61,134.8,Body_Effect,Cracks,Fault,Fault,3.54
1622.432268,1.99,13509.44,0.1,-10.24,-19.43,1.39,-0.04,40.48,49.09,Cracks,Body_Effect,Fault,Fault,3.48
1561.2963840000002,1.87,12636.96,0.31,-8.51,-13.08,2.02,2.87,39.69,99.45,Rupture_Coupure,Body_Effect,Fault,Fault,3.26
2725.2999720000003,2.1,6399.49,0.66,-15.54,-6.24,3.21,5.16,73.07,70.39,Conductivity_Degradation,Coupure,Fault,Fault,3.68
2335.335808,2.04,5736.88,0.66,-24.54,-16.94,1.54,1.82,33.61,120.41,Humidity_Sweat,Rupture,Fault,Fault,2.07
1304.2369119999998,1.93,10032.1,0.67,-11.3,-3.65,1.06,4.41,75.91,124.58,Strong_Flexion,Coupure,Fault,Fault,2.24
2472.557412,2.38,12450.95,0.87,-14.1,-23.52,2.61,-0.04,51.98,68.18,Body_Effect,Rupture,Fault,Fault,2.54
1363.302,1.67,7627.23,0.56,-13.37,-8.4,2.21,2.8,77.9,43.12,Body_Effect,Coupure,Fault,Fault,2.7
1368.8300080000001,2.4,13837.33,0.87,-11.07,-14.45,1.21,1.42,75.64,110.52,Humidity_Sweat,No_Fault,Fault,Normal,3.0
1680.9310479999997,2.19,4390.31,0.33,-23.19,-4.45,3.26,-0.04,44.14,118.87,Conductivity_Degradation,Body_Effect,Fault,Fault,1.61
1466.337897,1.6,9362.5,0.71,-18.01,-17.01,3.76,2.84,78.13,123.31,Bending,Strong_Flexion,Fault,Fault,2.9
1973.8687,1.55,12320.83,0.41,-12.56,-15.67,2.83,2.98,61.05,59.24,Conductivity_Degradation,Body_Effect,Fault,Fault,3.16
2060.3298629999995,1.75,6414.68,0.91,-11.81,-8.68,2.55,5.01,37.31,117.42,Rupture_Coupure,Conductivity_Degradation,Fault,Fault,3.55
1268.731296,1.7,3843.27,0.42,-15.65,-13.8,2.32,0.43,54.2,85.06,Strong_Flexion,No_Fault,Fault,Normal,2.99
1287.8852350000002,2.18,8036.3,1.19,-12.96,-12.44,3.67,1.27,44.99,131.66,Bending,Rupture,Fault,Fault,2.08
2472.557412,2.38,12450.95,0.87,-14.1,-23.52,2.61,-0.04,51.98,68.18,Body_Effect,Rupture,Fault,Fault,2.54
2722.507212,1.67,12555.6,0.23,-19.24,-19.07,3.59,4.08,42.54,55.64,Body_Effect,Cracks,Fault,Fault,2.58
1974.0212800000002,1.75,8995.82,0.15,-11.87,-17.49,3.64,5.35,33.67,84.64,Strong_Flexion,Rupture,Fault,Fault,3.45
2397.262788,1.61,3374.43,0.44,-12.56,-4.75,1.99,4.46,37.65,116.92,Conductivity_Degradation,Cracks,Fault,Fault,1.55
1387.2052840000001,2.1,13435.43,0.17,-14.47,-12.96,3.44,3.3,77.36,53.78,Strong_Flexion,Humidity_or_Sweat,Fault,Fault,2.56
1547.7872799999998,2.27,14609.0,0.57,-21.58,-15.06,1.41,2.25,54.55,157.87,Conductivity_Degradation,No_Fault,Fault,Normal,2.39
2118.853506,1.78,4651.83,0.26,-22.98,-21.08,1.51,3.11,31.07,156.46,Cracks,Rupture,Fault,Fault,3.44
1903.7342649999996,1.92,6633.1,0.25,-14.29,-3.06,1.09,4.33,61.0,110.82,Strong_Flexion,Body_Effect,Fault,Fault,3.94
1244.1075839999999,2.24,9827.55,1.07,-10.24,-15.87,3.33,-0.56,68.17,151.74,Conductivity_Degradation,Conductivity_Degradation,Fault,Fault,2.97
1667.07026,1.87,12640.35,0.72,-24.03,-15.87,3.75,4.05,63.86,55.05,Body_Effect,Strong_Flexion,Fault,Fault,1.78
1524.2462180000002,1.53,4816.92,0.69,-6.04,-3.04,3.19,1.72,67.56,93.79,Body_Effect,Body_Effect,Fault,Fault,2.31
1654.888536,2.18,13008.17,0.78,-20.16,-9.68,2.97,5.43,47.61,44.28,Strong_Flexion,Rupture,Fault,Fault,2.51
1216.91682,2.31,10327.84,0.84,-9.48,-18.47,2.42,-0.55,49.36,69.25,Bending,Rupture,Fault,Fault,2.16
2145.295068,2.05,8395.67,0.78,-18.3,-6.92,2.1,4.4,31.0,83.64,Conductivity_Degradation,Conductivity_Degradation,Fault,Fault,1.83
2439.532512,2.26,12438.68,0.99,-18.63,-17.83,3.47,2.33,53.51,74.06,Bending,Body_Effect,Fault,Fault,1.85
2065.895481,2.32,13428.99,1.15,-15.39,-5.36,3.47,2.29,73.07,56.2,Conductivity_Degradation,Humidity_or_Sweat,Fault,Fault,3.44
2301.2113750000003,1.7,4804.7,0.79,-18.76,-4.91,3.55,2.26,59.36,75.98,Bending,Cracks,Fault,Fault,3.1
1404.362124,2.42,13513.08,0.72,-11.98,-5.78,3.06,-0.46,87.2,112.79,Bending,Body_Effect,Fault,Fault,3.46
1589.5931039999998,2.28,4374.47,0.88,-14.81,-9.94,1.04,5.59,35.55,87.54,Bending,Body_Effect,Fault,Fault,3.27
1714.731538,1.59,3152.23,1.05,-16.63,-12.1,3.95,5.55,67.79,127.78,Humidity_Sweat,Body_Effect,Fault,Fault,2.08
2846.708016,2.11,9028.17,1.18,-24.34,-21.38,3.11,1.2,59.86,114.75,Humidity_Sweat,Rupture,Fault,Fault,2.33
1869.9646799999998,1.53,3074.8,0.69,-11.63,-10.58,2.71,2.11,79.25,143.04,Body_Effect,No_Fault,Fault,Normal,3.29
1321.0530959999999,1.93,14151.02,0.11,-22.05,-10.29,3.14,1.47,55.64,83.58,Strong_Flexion,Rupture,Fault,Fault,3.28
2755.494576,2.0,9253.06,0.42,-24.02,-3.04,3.76,4.32,46.22,83.44,Bending,Body_Effect,Fault,Fault,3.67
1714.101728,1.72,4254.71,1.09,-19.62,-11.23,1.39,0.99,38.31,73.13,Humidity_Sweat,Body_Effect,Fault,Fault,2.18
1969.425738,2.38,3855.61,1.01,-10.97,-6.8,3.67,4.21,69.96,51.37,Humidity_Sweat,Body_Effect,Fault,Fault,3.28
1654.6309439999998,1.79,13639.81,0.48,-16.73,-17.75,1.8,5.09,56.62,104.11,Conductivity_Degradation,No_Fault,Fault,Normal,1.66
2136.9922699999997,2.01,13787.35,0.84,-19.87,-16.48,1.25,-0.6,85.76,110.28,Humidity_Sweat,Strong_Flexion,Fault,Fault,3.22
1845.82096,2.24,14187.31,0.84,-7.18,-22.52,2.4,4.15,62.32,79.23,Body_Effect,No_Fault,Fault,Normal,3.07
1668.1574000000003,2.06,9459.46,0.57,-19.52,-9.16,1.11,-0.86,77.71,97.26,Strong_Flexion,Cracks,Fault,Fault,3.98
2418.1357199999998,1.89,12682.15,0.53,-20.6,-20.68,3.82,3.11,32.99,86.6,Rupture_Coupure,Strong_Flexion,Fault,Fault,2.13
2072.52794,2.27,3247.23,0.46,-18.75,-20.0,2.65,1.37,39.41,130.02,Body_Effect,Humidity_or_Sweat,Fault,Fault,2.04
1879.4703,2.27,5446.31,1.11,-24.9,-10.19,3.79,4.57,67.7,43.23,Body_Effect,Bending,Fault,Fault,2.71
1444.4506789999998,1.87,3337.32,0.99,-17.15,-20.12,2.02,-0.15,51.94,83.42,Strong_Flexion,Cracks,Fault,Fault,2.73
2894.819928,2.04,9654.72,1.19,-21.2,-7.78,3.37,4.91,75.0,58.64,Rupture_Coupure,Strong_Flexion,Fault,Fault,2.16
1738.646217,2.42,7798.26,0.29,-20.53,-6.46,3.72,3.39,40.16,64.24,Cracks,Rupture,Fault,Fault,2.93
1732.2953699999998,2.4,13505.45,1.02,-18.5,-10.72,1.96,0.7,57.88,72.44,Cracks,No_Fault,Fault,Normal,2.23
1462.16988,2.03,3767.87,0.51,-11.28,-6.32,1.88,0.2,57.02,52.65,Body_Effect,Body_Effect,Fault,Fault,1.67
1732.2953699999998,2.4,13505.45,1.02,-18.5,-10.72,1.96,0.7,57.88,72.44,Cracks,No_Fault,Fault,Normal,2.23
2401.518889,1.68,12871.51,0.35,-8.42,-11.21,3.53,2.77,30.81,150.77,Humidity_Sweat,Bending,Fault,Fault,1.66
1871.978472,1.82,8582.44,0.27,-5.58,-20.6,2.63,2.23,77.0,69.92,Bending,No_Fault,Fault,Normal,1.61
1260.04749,2.28,14019.43,0.8,-13.22,-7.72,1.28,4.23,71.17,58.4,Humidity_Sweat,Bending,Fault,Fault,3.6
1373.966272,2.2,3542.81,0.73,-6.8,-13.25,3.04,-0.81,68.1,112.76,Rupture_Coupure,Humidity_or_Sweat,Fault,Fault,2.46
2237.69,1.9,7108.81,0.79,-9.56,-15.14,2.63,-0.04,50.53,93.3,Humidity_Sweat,Rupture,Fault,Fault,3.77
1344.529692,1.51,8251.2,1.06,-7.39,-11.74,3.88,5.38,60.63,87.2,Humidity_Sweat,Strong_Flexion,Fault,Fault,3.01
1965.750176,2.38,12520.91,0.91,-5.88,-17.42,2.88,5.34,44.76,40.73,Humidity_Sweat,Body_Effect,Fault,Fault,1.83
2347.002816,1.6,9970.19,0.27,-7.05,-4.2,3.41,1.21,44.57,130.58,Rupture_Coupure,Cracks,Fault,Fault,3.17
1559.9913119999999,2.28,4777.95,0.65,-15.12,-20.94,1.98,3.81,39.32,138.24,Strong_Flexion,Rupture,Fault,Fault,3.62
2718.767304,2.37,9104.27,0.48,-21.2,-15.52,2.06,0.96,71.51,138.88,Cracks,No_Fault,Fault,Normal,1.88
1879.691996,2.14,13889.84,0.82,-23.77,-15.12,2.0,3.52,33.7,119.08,Conductivity_Degradation,Cracks,Fault,Fault,3.55
1638.9038999999998,1.83,9603.17,0.91,-18.65,-6.87,3.49,5.8,67.9,105.03,Cracks,Coupure,Fault,Fault,2.54
2422.1306879999997,1.95,3965.35,0.45,-14.84,-4.48,1.33,2.86,72.39,105.69,Rupture_Coupure,Bending,Fault,Fault,2.56
1373.966272,2.2,3542.81,0.73,-6.8,-13.25,3.04,-0.81,68.1,112.76,Rupture_Coupure,Humidity_or_Sweat,Fault,Fault,2.46
2337.3071999999997,2.11,9731.05,0.43,-5.93,-3.3,3.99,4.48,89.37,105.11,Cracks,Conductivity_Degradation,Fault,Fault,2.76
2344.440732,2.11,4087.55,0.13,-24.78,-19.49,3.29,1.71,76.53,115.08,Rupture_Coupure,Strong_Flexion,Fault,Fault,3.82
1852.8842999999997,2.25,9921.85,0.35,-15.18,-15.93,1.36,1.47,89.41,45.64,Strong_Flexion,Coupure,Fault,Fault,3.93
2543.1048,1.78,9698.18,0.86,-9.09,-15.18,2.2,4.37,55.9,69.75,Rupture_Coupure,No_Fault,Fault,Normal,1.82
1929.2590079999995,2.25,6340.96,0.27,-6.1,-9.8,2.17,-0.96,42.88,98.46,Bending,Cracks,Fault,Fault,3.94
1741.1732200000001,2.22,3487.16,0.63,-15.41,-15.66,3.29,5.79,31.88,151.55,Humidity_Sweat,Cracks,Fault,Fault,3.86
2138.04385,2.4,3436.84,0.83,-6.67,-9.99,1.19,3.49,33.91,58.32,Bending,Humidity_or_Sweat,Fault,Fault,1.51
2528.431488,2.4,11607.26,1.04,-15.94,-20.36,2.48,4.66,57.87,44.22,Bending,Rupture,Fault,Fault,2.88
1616.4314100000006,1.93,8402.78,0.64,-8.3,-11.12,3.58,2.61,61.42,115.45,Conductivity_Degradation,Rupture,Fault,Fault,2.64
2397.81776,2.01,14185.79,0.82,-11.44,-3.32,1.61,0.78,64.33,107.98,Cracks,Conductivity_Degradation,Fault,Fault,3.99
2433.6046800000004,2.11,3638.76,0.4,-15.09,-24.05,3.69,1.96,61.81,43.27,Body_Effect,Humidity_or_Sweat,Fault,Fault,3.33
2267.5369200000005,2.49,11378.36,0.56,-14.2,-14.08,2.35,2.97,48.55,53.77,Humidity_Sweat,Strong_Flexion,Fault,Fault,2.81
1660.173165,1.66,10656.42,0.28,-21.62,-6.3,3.33,-0.3,74.18,138.77,Humidity_Sweat,Strong_Flexion,Fault,Fault,3.48
1932.7535819999998,1.62,3091.41,0.24,-23.05,-7.66,2.16,4.79,69.81,92.78,Strong_Flexion,No_Fault,Fault,Normal,2.18
1719.875575,2.08,13444.83,1.0,-17.01,-3.59,3.87,3.9,36.2,147.71,Bending,Body_Effect,Fault,Fault,2.16
2435.770449,2.44,14539.35,0.6,-11.82,-23.16,2.76,4.16,83.86,49.92,Humidity_Sweat,Rupture,Fault,Fault,2.43
2122.040567,2.2,7957.3,0.79,-22.26,-3.55,3.26,4.76,42.37,140.76,Humidity_Sweat,Humidity_or_Sweat,Fault,Fault,2.21
1239.94455,2.32,8117.25,0.9,-24.49,-7.52,2.65,-0.85,32.89,88.84,Conductivity_Degradation,Bending,Fault,Fault,3.11
1893.5136049999999,2.27,14361.43,0.25,-5.52,-17.74,2.69,-0.86,77.67,152.2,Conductivity_Degradation,Conductivity_Degradation,Fault,Fault,2.64
1301.148696,1.74,8089.05,0.83,-10.52,-18.31,3.48,3.45,42.84,156.93,Humidity_Sweat,Bending,Fault,Fault,3.77
1425.816,1.72,9209.98,0.77,-10.83,-24.26,3.13,-0.81,41.86,58.49,Cracks,Strong_Flexion,Fault,Fault,3.96
2416.245984,1.96,3889.1,0.21,-15.89,-11.2,2.15,0.29,82.07,154.97,Conductivity_Degradation,No_Fault,Fault,Normal,3.23
1697.1422440000001,1.73,12695.23,0.52,-20.23,-18.22,3.47,5.33,87.62,41.82,Rupture_Coupure,Conductivity_Degradation,Fault,Fault,3.04
1940.809728,1.94,10935.47,0.72,-10.97,-5.4,1.99,3.6,30.89,75.61,Humidity_Sweat,Strong_Flexion,Fault,Fault,2.28
2164.3152510000004,2.44,3219.5,0.44,-15.75,-13.63,3.72,2.5,44.19,142.87,Conductivity_Degradation,Humidity_or_Sweat,Fault,Fault,2.11
2008.1882800000003,2.09,11648.34,0.72,-7.01,-22.67,3.88,5.44,83.94,82.61,Cracks,Conductivity_Degradation,Fault,Fault,2.89
1743.74234,2.11,9558.79,0.82,-7.6,-18.02,3.39,0.59,49.85,99.33,Conductivity_Degradation,Rupture,Fault,Fault,3.17
1493.05914,1.71,10364.99,0.33,-17.37,-21.41,3.07,3.31,84.43,51.46,Humidity_Sweat,Conductivity_Degradation,Fault,Fault,1.53
1783.2573000000002,2.44,9437.62,0.12,-8.05,-4.98,1.42,1.78,72.85,91.92,Strong_Flexion,Strong_Flexion,Fault,Fault,1.9
1283.2323840000001,2.22,12599.51,0.86,-23.84,-7.36,3.48,1.13,44.87,127.77,Body_Effect,Cracks,Fault,Fault,2.92
2851.289628,1.53,14428.7,1.01,-8.53,-4.61,2.24,-0.46,64.17,104.28,Conductivity_Degradation,Coupure,Fault,Fault,1.53
1303.191096,1.95,9655.38,1.1,-20.82,-4.41,2.02,-0.68,84.56,110.34,Bending,Bending,Fault,Fault,3.92
1255.268025,2.26,13336.55,0.89,-18.27,-6.24,2.37,5.74,76.33,50.83,Strong_Flexion,Cracks,Fault,Fault,2.77
1853.27667,1.88,6544.56,0.59,-20.49,-14.57,1.72,-0.87,31.33,90.84,Humidity_Sweat,Coupure,Fault,Fault,3.66
1788.4699040000005,1.51,10222.67,0.43,-9.82,-6.61,3.26,4.29,87.19,118.05,Cracks,Conductivity_Degradation,Fault,Fault,3.92
1818.430495,1.66,11716.07,0.41,-8.82,-4.17,2.06,1.65,48.11,70.68,Conductivity_Degradation,Conductivity_Degradation,Fault,Fault,3.04
1717.37808,1.65,9940.33,0.17,-17.54,-19.41,2.0,2.4,62.14,50.12,Rupture_Coupure,Cracks,Fault,Fault,2.36
1689.3340799999999,1.71,4779.76,0.4,-22.86,-21.83,3.91,5.03,89.96,123.1,Bending,Rupture,Fault,Fault,2.72
2551.78623,1.54,10348.89,0.97,-18.81,-4.1,1.73,1.23,54.17,48.77,Strong_Flexion,Cracks,Fault,Fault,2.48
1781.6263680000002,2.31,10604.78,0.14,-15.59,-13.58,1.18,-0.59,78.16,71.49,Bending,Cracks,Fault,Fault,1.71
1818.430495,1.66,11716.07,0.41,-8.82,-4.17,2.06,1.65,48.11,70.68,Conductivity_Degradation,Conductivity_Degradation,Fault,Fault,3.04
1719.875575,2.08,13444.83,1.0,-17.01,-3.59,3.87,3.9,36.2,147.71,Bending,Body_Effect,Fault,Fault,2.16
2186.7588,1.57,3226.94,0.86,-20.46,-23.13,1.44,3.68,60.25,46.44,Strong_Flexion,Rupture,Fault,Fault,3.95
2555.0739900000003,2.36,3646.67,1.03,-9.43,-8.06,1.99,-0.89,59.68,104.13,Body_Effect,Rupture,Fault,Fault,3.58
1885.9033600000002,1.79,11891.7,0.85,-16.77,-21.23,1.36,3.44,33.17,155.85,Bending,Humidity_or_Sweat,Fault,Fault,3.27
2564.8102079999994,1.5,4721.16,0.33,-13.45,-24.93,1.38,2.39,32.46,78.25,Rupture_Coupure,Humidity_or_Sweat,Fault,Fault,3.86
2355.643035,1.77,12032.07,1.08,-7.14,-7.01,1.25,5.65,63.72,72.77,Cracks,No_Fault,Fault,Normal,2.33
2718.767304,2.37,9104.27,0.48,-21.2,-15.52,2.06,0.96,71.51,138.88,Cracks,No_Fault,Fault,Normal,1.88
2673.55424,1.66,7623.24,0.42,-7.43,-14.36,3.74,3.95,89.93,111.97,Rupture_Coupure,Cracks,Fault,Fault,2.94
1309.47813,2.48,12268.75,0.13,-14.71,-16.01,1.51,1.74,85.47,53.65,Body_Effect,Conductivity_Degradation,Fault,Fault,1.94
2601.788085,1.87,14943.02,1.16,-24.73,-7.6,3.05,-0.41,88.33,47.78,Cracks,Coupure,Fault,Fault,2.36
1447.6968,1.83,13482.66,0.97,-14.69,-5.71,2.75,0.96,88.56,47.12,Humidity_Sweat,Bending,Fault,Fault,3.05
1103.8376799999999,2.24,11842.25,0.52,-5.25,-21.44,3.31,1.76,74.56,41.9,Cracks,Humidity_or_Sweat,Fault,Fault,3.5
1292.8388310000003,1.82,3643.52,0.44,-18.46,-23.3,2.72,4.89,66.63,52.54,Strong_Flexion,Cracks,Fault,Fault,3.9
2397.81776,2.01,14185.79,0.82,-11.44,-3.32,1.61,0.78,64.33,107.98,Cracks,Conductivity_Degradation,Fault,Fault,3.99
